인증업체코드,인증분야,인증분야명,name,lng,ltd,주소,전화
26,1,위생등급제,하누에뜰,127.013586,37.55928761,서울특별시 중구 다산로 178 (신당동 1층2층),02-2234-2121
27,10,안심마트,롯데쇼핑(주)롯데슈퍼 신당점,127.0076091,37.5484978,서울특별시 중구 다산로 56 (신당동정은스카이(아) 지하2층),02-2232-5602
28,1,위생등급제,신안동찜닭홍가네해물떡집,127.038396,37.56144094,서울특별시 성동구 왕십리광장로 17 지상1층 (행당동 왕십리민자역사),02-2200-1591
29,1,위생등급제,육백더육백,127.0234813,37.5558875,서울특별시 성동구 행당로 35 (금호동1가 1층),02-2233-0326
30,1,위생등급제,원할머니박가부대찌개,127.0534396,37.54157349,서울특별시 성동구 성수이로7길 27 (성수동2가지하1층 102호),02-2117-0488
31,1,위생등급제,구가네씨암탉,127.0358898,37.56545657,서울특별시 성동구 마장로26길 14-1 (홍익동(1층)),02-2296-5688
32,2,채식메뉴음식점,VIPS,126.9880784,37.56895008,서울특별시 종로구 삼일대로 386 (관철동),02-2272-3801
33,1,위생등급제,조양갈비,126.9898533,37.56880248,서울특별시 종로구 수표로 86-1 1층 (관수동),02-2266-0999
34,1,위생등급제,세종식당,126.9989817,37.53608587,서울특별시 용산구 이태원로45길 7,02-796-4100
35,6,먹을만큼적당히,달인의 족발,127.0337925,37.56321551,서울특별시 성동구 무학로2길 37 (도선동),02-2295-4000
36,6,먹을만큼적당히,마산아구찜,127.0319688,37.56511532,서울특별시 성동구 무학로6길 18 지상1층 (도선동 329-9),02-2298-0785
37,6,먹을만큼적당히,탄뽀뽀,127.0956923,37.53572635,서울특별시 광진구 광나루로56길 85 (구의동테크노마트21 9층38),02-3424-1556
38,1,위생등급제,해마루,126.9775671,37.56192078,서울특별시 중구 남대문로1길 18 (북창동1층),02-779-8720
39,1,위생등급제,김.삼.보. 관자마을,126.9772996,37.56330106,서울특별시 중구 남대문로1길 49 (태평로2가 1층),02-757-5388
40,1,위생등급제,크리스탈제이드 레스토랑,126.9811658,37.56416669,서울특별시 중구 남대문로7길 16 지하1층 (소공동 한컴빌딩),02-3789-8088
41,1,위생등급제,파레스,126.9812519,37.56369098,서울특별시 중구 남대문로7길 11 지하1층 (소공동),02-752-3441
42,4,저염실천음식점,세림,126.9811333,37.56713997,서울특별시 중구 남대문로9길 24 (다동),02-319-4603
43,1,위생등급제,미도리회집,126.9865948,37.56055624,서울특별시 중구 퇴계로22길 7 ,02-0776-5560
44,6,먹을만큼적당히,삼겹살앤낙지,127.0349531,37.56643353,서울특별시 성동구 마장로27길 2 (마장동),02-2297-9073
45,1,위생등급제,우정 광화문점,126.9733202,37.57536635,서울특별시 종로구 사직로 130 (적선동지하1층 32호),02-732-6007
46,1,위생등급제,Salvatore Cuomo &amp; Bar (살바토레쿠오모앤바),126.9812491,37.57501109,서울특별시 종로구 율곡로2길 7 (수송동서머셋팰리스 서울 (지상 1층 102호)),02-3447-0071
47,6,먹을만큼적당히,남도한식 고운님,126.9770777,37.56339832,서울특별시 중구 세종대로 82 (태평로2가(지상2층)),02-775-0038
48,1,위생등급제,시래정,127.0582464,37.54169735,서울특별시 성동구 연무장길 81 1층 (성수동2가),02-468-7759
49,1,위생등급제,영덕물회&amp;생태,127.0932355,37.53990175,서울특별시 광진구 아차산로 461 (구의동1층),02-454-3396
50,1,위생등급제,(주)지유 베네스타,127.0710481,37.54846225,서울특별시 광진구 광나루로 369 (군자동두산위브파크상가지하108호),02-469-2220
51,4,저염실천음식점,장군갈비,127.0866414,37.56359581,서울특별시 광진구 용마산로 111,
52,9,트랜스지방 안심제과점,뚜레쥬르자양성자3점,127.082622,37.53164207,서울특별시 광진구 뚝섬로 657 (자양동),02-956-5710
53,7,안심식육판매소,성풍,126.9707641,37.58106364,서울특별시 종로구 자하문로 57,02-737-6142
54,1,위생등급제,인사동 그집,126.9846498,37.57446377,서울특별시 종로구 인사동12길 3 (관훈동),02-730-5232
55,2,채식메뉴음식점,오세계향,126.9852656,37.57468009,서울특별시 종로구 인사동12길 14-5 (관훈동(지상1층)),02-735-7171
56,1,위생등급제,지리산,126.9853968,37.57530359,서울특별시 종로구 인사동14길 30 12층 (관훈동),02-723-4696
57,1,위생등급제,장자의나비,126.9848036,37.57504764,서울특별시 종로구 인사동14길 43 ,02-738-6782
58,4,저염실천음식점,담쟁이,127.0351552,37.56300608,서울특별시 성동구 왕십리로20길 11-1 (도선동(1층)),02-2282-5264
59,8,안심참기름,양지참기름고추,127.0344275,37.56560837,서울특별시 성동구 왕십리로24길 35 (홍익동(지상1층)),02-292-8016
60,1,위생등급제,꾼타닥,127.0941614,37.53836931,서울특별시 광진구 구의강변로 88 (구의동),02-453-9971
61,1,위생등급제,그램그램,127.0913771,37.53393137,서울특별시 광진구 구의강변로 35 (구의동),02-456-7040
62,6,먹을만큼적당히,구의축산마을,127.089211,37.53915883,서울특별시 광진구 구의로 11 (구의동(1층)),02-455-4004
63,9,트랜스지방 안심제과점,뚜레쥬르(군자역점),127.079544,37.55659465,서울특별시 광진구 능동로 302 (능동),02-455-3878
64,1,위생등급제,온달,127.1117068,37.55863008,서울특별시 광진구 워커힐로 177 (광장동),02-450-4518
65,1,위생등급제,신선설농탕,127.0829076,37.5403167,서울특별시 광진구 자양로 139 (자양동),02-454-7944
66,4,저염실천음식점,평창우선생,126.9684979,37.56430455,서울특별시 중구 통일로 102 (의주로1가지상1층 바비엥I 101호),
67,1,위생등급제,씨제이푸드빌(주)행복한콩&amp;백설관,127.0032552,37.56397353,서울특별시 중구 동호로 330 (쌍림동 제일제당빌딩 지하1층),02-2279-1342
68,1,위생등급제,씨제이푸드빌(주) 로코커리 쌍림점,127.0032552,37.56397353,서울특별시 중구 동호로 330 (쌍림동CJ제일제당빌딩 지하1층),02-6244-7313
69,1,위생등급제,곰국시집,126.9794805,37.56810557,서울특별시 중구 무교로 24 (지상23층),02-0756-3249
70,4,저염실천음식점,우래옥,126.9987141,37.56821907,서울특별시 중구 창경궁로 62-29 (주교동),02-2265-0151
71,8,안심참기름,대영상회,127.00024,37.56486376,서울특별시 중구 을지로32길 36-1 (오장동),02-2265-5708
72,1,위생등급제,강호동 백정,127.0141352,37.56645588,서울특별시 중구 퇴계로73길 28 (흥인동(지상1층)),
73,1,위생등급제,지리산 버섯 샤브샤브 칼국수,127.0034953,37.56551243,서울특별시 중구 을지로38길 25 (광희동1가(지상12층)),02-2265-5420
74,6,먹을만큼적당히,남포면옥,126.9816766,37.56714727,서울특별시 중구 을지로3길 24 (다동지상1층),02-777-2269
75,1,위생등급제,남포면옥,126.9816766,37.56714727,서울특별시 중구 을지로3길 24 지상1층,02-0777-2269
76,1,위생등급제,포베이,127.0067371,37.56667998,서울특별시 중구 을지로43길 7 (을지로6가동화빌딩 (지하1층)),
77,4,저염실천음식점,발우공양 고상,126.9852082,37.56733877,서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층),02-6030-8955
78,14,채식전문음식점,발우공양 고상,126.9852082,37.56733877,서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층),02-6030-8955
79,1,위생등급제,발우공양 고상,126.9852082,37.56733877,서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층),02-6030-8955
80,1,위생등급제,송전,126.9788597,37.56981374,서울특별시 종로구 종로 14 (서린동),02-739-8282
81,1,위생등급제,화선,126.9788597,37.56981374,서울특별시 종로구 종로 14 지하1층 (서린동 한효빌딩),02-730-7627
82,1,위생등급제,미스터피자 종로점,126.9851714,37.56991201,서울특별시 종로구 종로 70 (종로2가),02-736-9120
83,1,위생등급제,위즈버거,127.0080913,37.57081727,서울특별시 종로구 종로 272 (종로6가지상5층),02-2278-8591
84,1,위생등급제,아이러브 떡볶이,127.0147593,37.56319059,서울특별시 중구 퇴계로76길 50 (신당동 성완빌딩 1층 1~7호),02-2232-7872
85,6,먹을만큼적당히,늘봄갈비,127.0443635,37.54700847,서울특별시 성동구 왕십리로5길 12 (성수동1가),02-497-0301
86,1,위생등급제,파스타 뚜미오,126.9788688,37.56948218,서울특별시 종로구 청계천로 11 청계11빌딩 지하1층,02-739-6432
87,6,먹을만큼적당히,본아이에프(주)본도시락카페 본점,126.98466,37.56881634,서울특별시 종로구 청계천로 63-1 (관철동(1층)),02-3476-1003
88,1,위생등급제,훌리오,126.9858871,37.56863989,서울특별시 종로구 청계천로 73 3층 (관철동),02-7302-5324
89,1,위생등급제,토방,126.9843192,37.57458266,서울특별시 종로구 인사동길 50-1 (관훈동),02-735-8156
90,1,위생등급제,인사동 본죽,126.9837486,37.57484207,서울특별시 종로구 인사동길 55 (지상2층),02-722-6288
91,1,위생등급제,강남면옥,126.9868734,37.57246383,서울특별시 종로구 인사동길  18,02-722-8586
92,6,먹을만큼적당히,육미,126.9822472,37.56698518,서울특별시 중구 남대문로 109 (다동 지하1층),02-771-8872
93,4,저염실천음식점,함흥냉면,126.9998823,37.56427271,서울특별시 중구 마른내로 108 (오장동),02-2267-9500
94,6,먹을만큼적당히,평래옥,126.9903881,37.56491022,서울특별시 중구 마른내로 21-1 (저동2가1층2층),02-2267-5892
95,1,위생등급제,무라사키,126.9780915,37.56466351,서울특별시 중구 소공로 119 (태평로2가3층),02-771-2200
96,1,위생등급제,나주곰탕,127.0655457,37.56092443,서울특별시 성동구 천호대로 420 1층 (용답동 233-3),02-3394-8266
97,6,먹을만큼적당히,차이나플레인,127.0569361,37.54469292,서울특별시 성동구 아차산로 113 (성수동2가),02-2205-2477
98,1,위생등급제,옥향루,126.9708447,37.60659416,서울특별시 종로구 평창문화로 88 지하1 지상23층 (평창동),02-3217-0941
99,1,위생등급제,미당,126.9715649,37.57108802,서울특별시 종로구 경희궁1길 6,02-732-8200
100,6,먹을만큼적당히,이화고려정,126.9700967,37.56268677,서울특별시 중구 서소문로9길 10 (순화동(지하1층지상1층~3층)),02-777-3857
101,6,먹을만큼적당히,백상,127.0008511,37.56118049,서울특별시 중구 서애로1길 49 (묵정동),02-2263-7700
102,1,위생등급제,백상,127.0008511,37.56118049,서울특별시 중구 서애로1길 49 (묵정동),02-2263-7700
103,6,먹을만큼적당히,우림정,126.9741897,37.56195613,서울특별시 중구 세종대로11길 33-3 (서소문동),02-752-5939
104,1,위생등급제,대복,126.977929,37.56280022,서울특별시 중구 세종대로14길  22,02-755-0189
105,6,먹을만큼적당히,쏘렌토,126.9771184,37.56353888,서울특별시 중구 세종대로16길 1 (태평로2가(2층)),02-776-8181
106,1,위생등급제,쏘렌토,126.9771184,37.56353888,서울특별시 중구 세종대로16길 1 (태평로2가(2층)),02-776-8181
107,1,위생등급제,송원 스끼야끼 샤브샤브,126.9784811,37.56364005,서울특별시 중구 세종대로18길 24 (북창동),02-778-7708
108,1,위생등급제,대복정,126.9738995,37.57636118,서울특별시 종로구 자하문로2길 22 (적선동 1층 2층),02-738-6428
109,1,위생등급제,라세느,126.981007,37.56534517,서울특별시 중구 을지로 30 1층(소공동 호텔롯데),02-771-1000
110,1,위생등급제,플레이스케이프,127.007063,37.56574292,서울특별시 중구 을지로 264 (을지로6가 롯데피트인 지하3층),02-6262-4991
111,4,저염실천음식점,오메가3치킨영양삼계탕,126.9677019,37.52022383,서울특별시 용산구 이촌로64길 61 (이촌동),
112,4,저염실천음식점,다원수산,127.0318788,37.56644521,서울특별시 성동구 마장로 200 (홍익동),02-2295-1645
113,4,저염실천음식점,태평양수산,127.0303623,37.56693575,서울특별시 성동구 마장로 185 (홍익동),02-2296-4988
114,1,위생등급제,연평도꽃게낙지,127.0448512,37.567706,서울특별시 성동구 마장로 323 (마장동(지상12층)),02-2294-6565
115,1,위생등급제,베아르시,127.0321085,37.56353313,서울특별시 성동구 왕십리로 342 (도선동교보생명(지하1층)),02-2299-3690
116,6,먹을만큼적당히,전원 오리구이 생삼겹살,127.0334028,37.56226777,서울특별시 성동구 왕십리로 323 (행당동),02-2295-5292
117,6,먹을만큼적당히,우래식당,127.0359755,37.56482224,서울특별시 성동구 고산자로 281 (홍익동),02-2298-6290
118,1,위생등급제,사보텐용산점,126.9647427,37.5297736,서울특별시 용산구 한강대로23길 55 4층 407-1호 (한강로3가),
119,6,먹을만큼적당히,쌈사랑,0,0,서울특별시 중구 퇴계로 207 (충무로4가(1층)),222613233
120,6,먹을만큼적당히,쌈사랑,126.9948026,37.56164529,서울특별시 중구 퇴계로 207 (충무로4가(1층)),02-2261-3233
121,1,위생등급제,이조설렁탕.함흥냉면,126.9724698,37.53591688,서울특별시 용산구 백범로99길 54 (한강로1가(지상1층)),02-709-7069
122,1,위생등급제,새마을식당,126.9784575,37.56714672,서울특별시 중구 세종대로20길 19 (태평로1가1층),02-737-0335
123,1,위생등급제,한국관,126.9738321,37.56165692,서울특별시 중구 세종대로9길 42 (서소문동(지하1층)),02-756-5709
124,6,먹을만큼적당히,유정혜등촌샤브칼국수,127.0157868,37.56213089,서울특별시 중구 청구로6길 52 1층 (신당동),02-2275-1738
125,1,위생등급제,새마을식당,127.0015171,37.58223854,서울특별시 종로구 대학로11길 3 2층 (명륜4가),02-3672-7004
126,6,먹을만큼적당히,소담골두부마을,127.0842647,37.539649,서울특별시 광진구 자양로22길 15 (구의동1층),02-456-1473
127,1,위생등급제,코리아 푸드스토리,127.0509215,37.59247005,서울특별시 동대문구 회기로13길 21 (회기동(과학원길 19)),02-967-3954
128,2,채식메뉴음식점,청보리꼴,127.0358484,37.59240351,서울특별시 성북구 북악산로 1062 (종암동(지상2층)),
129,6,먹을만큼적당히,장수토종순대국,127.0585119,37.60916369,서울특별시 성북구 돌곶이로 61 (석관동),02-960-2033
130,1,위생등급제,소한마리정육식당(꿈꾸는이상(주)돈암점),127.0232873,37.60143099,서울특별시 성북구 동소문로 212-66 (돈암동),02-926-7733
131,1,위생등급제,전주관,127.0287437,37.60839984,서울특별시 성북구 동소문로 315 (길음동현대백화점),02-2117-1938
132,9,트랜스지방 안심제과점,파리바게뜨 정릉점,127.0101747,37.60836686,서울특별시 성북구 보국문로 44 (정릉동),02-914-6913
133,2,채식메뉴음식점,보리촌,127.0097055,37.588455,서울특별시 성북구 삼선교로 35-5 (삼선동2가(지하1층)),02-742-6582
134,1,위생등급제,궁,127.0067986,37.64595627,서울특별시 강북구 4.19로 70(수유동),02-994-3338
135,1,위생등급제,꽃피는 우산골,127.030628,37.58555383,서울특별시 성북구 인촌로28길 16 (안암동5가안암랜드 1층),02-923-7779
136,6,먹을만큼적당히,김가네동태찜.탕,127.0982154,37.60646319,서울특별시 중랑구 봉화산로56길 46 (신내동),02-491-5293
137,1,위생등급제,시골쌈밥,127.0203566,37.63489783,서울특별시 강북구 덕릉로19길 8 (수유동(원앙길 4)),02-908-1264
138,1,위생등급제,고기가 좋은 사람들,127.0247196,37.63146244,서울특별시 강북구 덕릉로28길 72 (미아동),
139,1,위생등급제,갯마을낙지아구,127.098432,37.59888748,서울특별시 중랑구 용마산로115길 34 (망우동),02-432-6848
140,1,위생등급제,선동보리밥,126.99389,37.59480543,서울특별시 성북구 성북로 142 (성북동),02-743-2096
141,9,트랜스지방 안심제과점,뚜레쥬르(길음뉴타운점),127.0193394,37.60945411,서울특별시 성북구 길음로13길 22 (길음동 두산@상가 지하2층20~21호),02-942-0435
142,1,위생등급제,금수강산,127.0891751,37.59642252,서울특별시 중랑구 망우로50길 15 1층 (상봉동),
143,6,먹을만큼적당히,남원본가추어탕,127.0994106,37.5990993,서울특별시 중랑구 망우로66길 10 (망우동),02-973-8850
144,1,위생등급제,우마이 돈마니,127.0786357,37.55819543,서울특별시 광진구 천호대로107길 8 (중곡동),02-467-5211
145,1,위생등급제,(주)야리성,127.0663162,37.56185023,서울특별시 동대문구 장한로2길 20 (장안동 이레빌딩 지하1층~4층),02-2215-9999
146,1,위생등급제,엄가네식당,127.0772017,37.61180545,서울특별시 중랑구 동일로 911 (묵동),02-977-1309
147,1,위생등급제,압구정찌개마을,127.0856906,37.57543558,서울특별시 중랑구 면목로 254-1 (면목동),02-434-8836
148,6,먹을만큼적당히,대가,127.0835771,37.57244219,서울특별시 중랑구 면목로 215 (면목동),02-495-1362
149,6,먹을만큼적당히,찜집,127.0859431,37.57845913,서울특별시 중랑구 면목로 287 (면목동),02-494-0044
150,6,먹을만큼적당히,이조뼈다귀감자탕,127.0846385,37.57408124,서울특별시 중랑구 면목로 235 (면목동),02-437-9686
151,1,위생등급제,옛골토성(상봉점),127.0859045,37.59606095,서울특별시 중랑구 면목로 494 (상봉동),02-433-4276
152,6,먹을만큼적당히,옛골토성(상봉점),127.0859045,37.59606095,서울특별시 중랑구 면목로 494 (상봉동),02-433-4276
153,1,위생등급제,고향풍천장어,127.1004946,37.59673778,서울특별시 중랑구 용마산로 512-1 (망우동),02-432-5548
154,1,위생등급제,지호한방삼계탕,127.1007041,37.60098307,서울특별시 중랑구 용마산로 560 (망우동),02-433-0054
155,1,위생등급제,오리무중유황오리,127.0883418,37.58879715,서울특별시 중랑구 겸재로 187 (면목동),02-492-9252
156,6,먹을만큼적당히,할매복집,127.079233,37.61771099,서울특별시 중랑구 공릉로 82 (묵동),02-979-7606
157,6,먹을만큼적당히,강나루,127.0881107,37.53873438,서울특별시 광진구 아차산로57길 5 (구의동),02-452-5251
158,4,저염실천음식점,남원율천추어탕,127.1024371,37.5467273,서울특별시 광진구 아차산로73길 48,
159,1,위생등급제,요리왕,127.0186411,37.58841789,서울특별시 성북구 보문로30길 14 (보문동1가 1층),02-926-1232
160,4,저염실천음식점,한우리,127.0315921,37.57373614,서울특별시 동대문구 천호대로 74 (용두동(하정로 76)),02-929-6231
161,1,위생등급제,명동칼국수샤브샤브동대문홈플러스점,127.0387695,37.5745485,서울특별시 동대문구 천호대로 133,02-965-2251
162,1,위생등급제,한우리,127.0315921,37.57373614,서울특별시 동대문구 천호대로 74,02-929-6231
163,7,안심식육판매소,명품횡성청정한우,127.0695978,37.5756624,서울특별시 동대문구 답십리로65길 69,02-2248-7124
164,1,위생등급제,미락,127.0391059,37.57708559,서울특별시 동대문구 왕산로28길 23 1층 (용두동),02-966-2809
165,1,위생등급제,풀잎보리쌈밥생고기,127.0767083,37.59461128,서울특별시 중랑구 중랑역로 5 (중화동),02-2207-3323
166,6,먹을만큼적당히,검바위족발,127.0778845,37.60192656,서울특별시 중랑구 중랑역로 94 (중화동외 1필지),02-432-1253
167,1,위생등급제,돈돼지털보네용두동쭈꾸미,127.0734114,37.590458,서울특별시 중랑구 중랑천로 58 (면목동),02-435-6910
168,6,먹을만큼적당히,소문난순대국,127.0144027,37.59198281,서울특별시 성북구 보문로40길 17 (동소문동5가),02-953-7354
169,1,위생등급제,장안정,127.0751726,37.57176668,서울특별시 동대문구 답십리로 314 (장안동(답십리길 314)),02-2246-6574
170,1,위생등급제,천호낙지,127.0680159,37.57889248,서울특별시 동대문구 사가정로 207 1층 106~110호 (장안동),7088267355
171,1,위생등급제,시인과농부,127.0712669,37.57856621,서울특별시 동대문구 사가정로 238 1층 (장안동),02-2215-1114
172,1,위생등급제,전농 크리스탈뷔페,127.046902,37.57457439,서울특별시 동대문구 서울시립대로 36 6층 (전농동),02-2217-4000
173,1,위생등급제,회밀리,127.0889308,37.58142299,서울특별시 중랑구 면목로44길 5 (면목동),02-433-9845
174,9,트랜스지방 안심제과점,파리바게뜨청량리점,127.0472101,37.58212459,서울특별시 동대문구 왕산로 225 (청량리동A동 109호 22-1호),02-967-1120
175,1,위생등급제,왔다~생고기마을,127.0651049,37.5953931,서울특별시 동대문구 외대역동로 80-1 1층 (이문동),02-966-0558
176,1,위생등급제,해적선,127.069845,37.56881109,서울특별시 동대문구 장한로 92 1층 (장안동),02-2247-3008
177,9,트랜스지방 안심제과점,파리바게뜨,127.0570206,37.57837934,서울특별시 동대문구 전농로 151 (전농동(전농로151)),02-2212-4845
178,1,위생등급제,홍능갈비집,127.0426752,37.58689437,서울특별시 동대문구 제기로 85 (청량리동(제기로 85)),02-966-0420
179,1,위생등급제,육전식당플러스,127.0243708,37.57636155,서울특별시 동대문구 한빛로 6 1층 (신설동),02-926-6373
180,4,저염실천음식점,동래,127.0878344,37.53857241,서울특별시 광진구 자양로18길 79,02-447-1588
181,1,위생등급제,동래,127.0878344,37.53857241,서울특별시 광진구 자양로18길 79 (구의동),02-447-1588
182,6,먹을만큼적당히,대원칼국수,127.0866479,37.53797141,서울특별시 광진구 자양로18길 56 (구의동16),02-454-3112
183,10,안심마트,(주)지에스리테일,0,0,서울특별시 강북구 덕릉로 176 (번동),02-988-5103
184,1,위생등급제,동네 감자탕,127.0247683,37.64174087,서울특별시 강북구 한천로 1064 (수유동(한천로1064)(지상1층)),02-900-5055
185,1,위생등급제,태평양참치,127.0265127,37.64046469,서울특별시 강북구 한천로 1042 (수유동(4.19길 10)(지상2층)),02-998-5544
186,1,위생등급제,수작,127.0151885,37.64787999,서울특별시 강북구 한천로 1173 (수유동),02-907-2301
187,1,위생등급제,(주)이랜드파크 외식 피자몰 미아삼거리역점,127.0305308,37.61370081,서울특별시 강북구 도봉로 52 5층 (미아동),02-6416-4296
188,1,위생등급제,마루국시,127.0248869,37.63058304,서울특별시 강북구 도봉로 242 2층 (미아동),
189,1,위생등급제,담향채(미아점),127.0295667,37.61607246,서울특별시 강북구 도봉로 77 (미아동(도봉로 77)(지상2층)),02-987-8803
190,1,위생등급제,신주쿠,127.0305176,37.6145946,서울특별시 강북구 도봉로 62 (미아동롯데백화점 8층),02-944-2688
191,1,위생등급제,오백집,127.087349,37.58414156,서울특별시 중랑구 면목로55길 17,02-492-0555
192,1,위생등급제,백운면옥,127.0124651,37.65163561,서울특별시 강북구 삼양로 547 (우이동(지상1층)),02-991-2992
193,4,저염실천음식점,솔샘 명태감자탕,127.0284573,37.61743863,서울특별시 강북구 솔샘로 327 (미아동(솔샘길 10)(지상1층)),02-989-0066
194,1,위생등급제,양촌리돼지갈비,127.0292182,37.61678613,서울특별시 강북구 솔샘로 334-8 (미아동),02-945-2416
195,1,위생등급제,조마루뼈다귀,127.0290416,37.61700602,서울특별시 강북구 솔샘로 332 (미아동),02-984-5300
196,6,먹을만큼적당히,진짬뽕,127.0314836,37.60633408,서울특별시 성북구 종암로 184 (하월곡동 1층),
197,1,위생등급제,어바웃 샤브,127.0196705,37.61072626,서울특별시 성북구 삼양로13길 45 (길음동대림상가 B101B102B103B104),02-914-3357
198,4,저염실천음식점,창원,127.046671,37.68314333,서울특별시 도봉구 도봉로180길 6 (도봉동 태봉운동시설2동),02-3492-7892
199,1,위생등급제,신의주찹쌀순대,127.0642826,37.63987713,서울특별시 노원구 동일로203가길 29 (중계동브라운스톤중계  1층 144호 145호),02-976-8749
200,1,위생등급제,낙지왕궁,127.0642826,37.63987713,서울특별시 노원구 동일로203가길 29 (중계동브라운스톤 201202203204호),
201,10,안심마트,이천일아울렛 중계점,127.0679096,37.64128784,서울특별시 노원구 동일로204가길 46 (중계동),02-948-2001
202,4,저염실천음식점,우정낙지,127.0590768,37.65327207,서울특별시 노원구 동일로217가길 23 (상계동2층),02-3392-3344
203,6,먹을만큼적당히,명품한우 천둥소리,127.0273821,37.66293501,서울특별시 도봉구 시루봉로 135 (방학동지상2층),02-3492-6677
204,7,안심식육판매소,북서울농업협종조합정육점,127.0383728,37.65727018,서울특별시 도봉구 해등로 166 (쌍문동),02-979-3838
205,1,위생등급제,Tokyo(도쿄)감자탕,127.047065,37.66802835,서울특별시 도봉구 마들로 650 (방학동도봉월드 210호),02-6229-9797
206,1,위생등급제,공룡고기창동점,127.0505007,37.66008748,서울특별시 도봉구 마들로 542 1~2층 (창동),02-998-7792
207,1,위생등급제,반값소,0,0,서울특별시 도봉구 마들로 664-5 101102호 (도봉동),
208,1,위생등급제,곤지암할매소머리국밥,126.9576373,37.55474337,서울특별시 마포구 마포대로 234 (아현동1층),02-362-7198
209,1,위생등급제,미래,126.9537581,37.54700054,서울특별시 마포구 마포대로 144 (공덕동 태영빌딩 지하1층),02-718-5292
210,1,위생등급제,강진수산물직판장,126.9478136,37.54225881,서울특별시 마포구 마포대로  63-8 삼창빌딩 지하 1층 78동 87호,02-704-0744
211,1,위생등급제,삼성웰스토리(주)에쓰오일본사,126.9516195,37.54323351,서울특별시 마포구 백범로 192 (공덕동 지하1층),02-701-4188
212,6,먹을만큼적당히,본도시락,126.954131,37.54410668,서울특별시 마포구 백범로 205 (신공덕동 펜트라우스 지하2-21호),
